Soru_ID,Baslik,Aciklama_No,Ornek_No,Ornek_Tipi,Senaryo,Soru,Kategori,Sik_Sayisi,A,B,C,D,Dogru_Sik,Dogru_Cevap,Dogru_Cevap_Gerekce,Kaynak_Yorum
1,Madde 4 Takımlar,4-1,4-2,Örnek,"Madde 4 Takımlar | 4-1
Açıklama: Takımdaki bütün oyuncuların forma ve şortun altına giydikleri dahil tüm kol ve bacak giyilebilir kompresyon malzemeleri, başörtüsü, bileklikleri, kafa-saç bantları aynı hakim renkte olmalıdır.
Örnek 4-2: Sahada A1 beyaz, A2 ise kırmızı saç bandı takar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,İzin verilmez,izin verilir,,,A,İzin verilmez,,A1 ve A2'nin farklı renkte saç bantları takmasına izin verilmez.
2,Madde 4 Takımlar,4-1,4-3,Örnek,"Madde 4 Takımlar | 4-1
Açıklama: Takımdaki bütün oyuncuların forma ve şortun altına giydikleri dahil tüm kol ve bacak giyilebilir kompresyon malzemeleri, başörtüsü, bileklikleri, kafa-saç bantları aynı hakim renkte olmalıdır.
Örnek 4-3: Sahada A1 beyaz saç bandı, A2 ise kırmızı bileklik takar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,İzin verilmez,izin verilir,,,A,İzin verilmez,,Beyaz bir kafa bandı takan A1'e ve kırmızı bir bileklik takan A2'ye izin verilmez.
3,Madde 4 Takımlar,4-4,Diyagram 1,Diyagram,"Madde 4 Takımlar | 4-4
Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez
Diyagram Diyagram 1: Fular tarzı kafa bandı örnekleri",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,İzin verilmez,izin verilir,,,A,İzin verilmez,,
4,Madde 4 Takımlar,4-4,4-5,Örnek,"Madde 4 Takımlar | 4-4
Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez
Örnek 4-5: A1, takım arkadaşlarının izin verilen diğer herhangi bir ek ekipmanıyla aynı hakim renkte fular tarzı bir kafa bandı takar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,İzin verilmez,izin verilir,,,A,İzin verilmez,,"A1'in fular tarzı bir kafa bandı takmasına izin verilmez. Kafa bandı, başın etrafında açma /bağlama parçalarına sahip olmayacak ve üzerinde sıkmaya yarayacak herhangi bir parçası bulunmayacaktır."
5,Madde 4 Takımlar,4-4,4-6,Örnek,"Madde 4 Takımlar | 4-4
Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez
Örnek 4-6: A6, bir değişiklik talebinde bulunur. Hakemler A6’nın formasının altına kompresyon malzemesi özelliği olmayan bir tişört giydiğini fark ederler.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,İzin verilmez,izin verilir,,,A,İzin verilmez,,Oyuncu değişikliğine izin verilmez. Üniformanın altına sadece kompresyon malzemesi özelliği olan giysiler giyilebilir.
6,Madde 4 Takımlar,4-4,4-7,Örnek,"Madde 4 Takımlar | 4-4
Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez
Örnek 4-7: A6, şortunun altına aşağıda belirtilen şekilde kompresyon malzemesi özelliği olan bir giysi giyer. (a) Dizlerinin üzerine kadar uzayan, (b) Ayak bileklerine kadar uzayan.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"Giyilebilir kompresyon malzemeleri (şort altına giyilen) kurallara uygundur ve herhangi bir uzunlukta giyilebilir. Takımdaki tüm oyuncular, forma ve şortun alt…","Giyilebilir kompresyon malzemeleri (şort altına giyilen) kurallara uygun değildir ve herhangi bir uzunlukta giyilebilir. Takımdaki tüm oyuncular, forma ve şortun alt…",,,A,"Giyilebilir kompresyon malzemeleri (şort altına giyilen) kurallara uygundur ve herhangi bir uzunlukta giyilebilir. Takımdaki tüm oyuncular, forma ve şortun alt…",,"Giyilebilir kompresyon malzemeleri (şort altına giyilen) kurallara uygundur ve herhangi bir uzunlukta giyilebilir. Takımdaki tüm oyuncular, forma ve şortun altına giydikleri dahil aynı hakim renkte kol ve bacak için giyilebilir kompresyon malzemeleri, başörtüsü, bileklik ve kafa-saç bantları kullanmalıdır."
7,Madde 4 Takımlar,4-4,4-8,Örnek,"Madde 4 Takımlar | 4-4
Açıklama: Fular tarzı kafa bantlarının takılmasına izin verilmez
Örnek 4-8: A6, formasının altına aşağıda belirtilen şekilde kompresyon malzemesi özelliği olan bir atlet giyer. (a) Omuzlarının üzerine kadar uzayan, (b) Boynuna kadar uzayan.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"Giyilebilir kompresyon malzemeleri (forma altına giyilen) kurallara uygundur ve kullanılabilir. (a) Omuzlarının üzerine ve altına doğru herhangi bir uzunlukta,…","Giyilebilir kompresyon malzemeleri (forma altına giyilen) kurallara uygun değildir ve kullanılabilir. (a) Omuzlarının üzerine ve altına doğru herhangi bir uzunlukta,…",,,A,"Giyilebilir kompresyon malzemeleri (forma altına giyilen) kurallara uygundur ve kullanılabilir. (a) Omuzlarının üzerine ve altına doğru herhangi bir uzunlukta,…",,"Giyilebilir kompresyon malzemeleri (forma altına giyilen) kurallara uygundur ve kullanılabilir. (a) Omuzlarının üzerine ve altına doğru herhangi bir uzunlukta, (b) Boynun üst tarafına kadar uzayan Takımdaki tüm oyuncular, forma ve şortun altına giydikleri dahil aynı hakim renkte kol ve bacak için giyilebilir kompresyon malzemeleri, başörtüsü, bileklik ve kafa-saç bantları kullanmalıdır."
8,Madde 5 Sakatlanma ve yardım,5-1,5-2,Örnek,"Madde 5 Sakatlanma ve yardım | 5-1
Açıklama: Bir oyuncu sakatlanır ya da sakatlanmış görünür veya yardıma ihtiyacı olursa ve bunun sonucunda takımın sıra bölgesinde oturmasına izin verilen herhangi biri (aynı yakımın başantrenör, birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da delegasyon üyesi) sahaya girerse, o oyuncunun gerçekten tedavi görüp görmediğine ya da yardım alıp almadığına bakılmaksızın tedavi olmuş veya yardım almış olarak kabul edilir.
Örnek 5-2: A1 ayak bileğinden sakatlanmış görünmektedir ve oyun durdurulur. A takımının: (a) Doktoru sahaya girer ve A1'in sakatlanan ayak bileğini tedavi eder. (b) Doktoru sahaya girer ancak, A1 daha önce iyileşir. (c) Başantrenörü sakatlanan oyuncusuna bakmak için sahaya girer. (d) Birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da herhangi bir diğer delegasyon üyesi sahaya girer, ancak A1’i tedavi etmezler.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,Tüm durumlarda A1 tedavi görmüş kabul edilir ve değiştirilecektir.
9,Madde 5 Sakatlanma ve yardım,5-1,5-3,Örnek,"Madde 5 Sakatlanma ve yardım | 5-1
Açıklama: Bir oyuncu sakatlanır ya da sakatlanmış görünür veya yardıma ihtiyacı olursa ve bunun sonucunda takımın sıra bölgesinde oturmasına izin verilen herhangi biri (aynı yakımın başantrenör, birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da delegasyon üyesi) sahaya girerse, o oyuncunun gerçekten tedavi görüp görmediğine ya da yardım alıp almadığına bakılmaksızın tedavi olmuş veya yardım almış olarak kabul edilir.
Örnek 5-3: Takımın fizyoterapisti A1’in gevşek olan bandını düzeltmek için oyun sahasına girer.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,A1 bir yardım almıştır ve değiştirilecektir.
10,Madde 5 Sakatlanma ve yardım,5-1,5-4,Örnek,"Madde 5 Sakatlanma ve yardım | 5-1
Açıklama: Bir oyuncu sakatlanır ya da sakatlanmış görünür veya yardıma ihtiyacı olursa ve bunun sonucunda takımın sıra bölgesinde oturmasına izin verilen herhangi biri (aynı yakımın başantrenör, birinci yardımcı antrenör, yedek oyuncu, oyun dışı kalmış oyuncu ya da delegasyon üyesi) sahaya girerse, o oyuncunun gerçekten tedavi görüp görmediğine ya da yardım alıp almadığına bakılmaksızın tedavi olmuş veya yardım almış olarak kabul edilir.
Örnek 5-4: Takımın doktoru A1'in kayıp olan kontak lensini bulmak için sahaya girer.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,A1 bir yardım almıştır ve değiştirilecektir.
